    1  196   30    8    9    9   41  142  252  291    0
    2  202   28    8    8   11   43  151  255  295    0
    3  199   23   11    8   11   40  146  251  301    0
    4  202   24    9    8   12   43  154  267  303    0
    5  199   24    8    9   12   40  143  266  290    0
    6  192   31   11    6   12   40  157  259  305    0
    7  199   29   10    7   11   41  157  250  304    0
    8  204   34    9    9   11   40  149  256  302    0
    9  209   34    9    9   11   42  153  259  314    0
   10  204   27    7    8   12   42  164  256  309    0
   11  205   33    9    9   11   42  157  275  299    0
   12  202   34    8   11   11   34  156  266  293    0
   13  192   31    7   11   10   38  143  271  298    0
   14  208   33    9    7   10   38  142  244  302    0
   15  191   33    8    7   13   36  143  258  301    0
   16  206   35    9    7   12   39  140  264  297    0
   17  199   39    9    7   12   42  141  249  302    0
   18  204   34    9   10   12   40  142  261  304    0
   19  205   31    7   10   11   40  150  238  310    0
   20  195   32    8    9   13   41  147  264  303    0
   21  208   24    8   11   10   40  149  247  296    0
   22  207   26   10    9   13   35  145  246  284    0
   23  214   28   10    9   11   37  145  249  298    0
   24  207   32    9    9   13   33  146  261  275    0
   25  197   23    7   11   13   38  149  259  300    0
   26  217   26    8   11   11   36  158  257  292    0
   27  212   29    9   12   11   37  142  265  289    0
   28  194   29   13    8   12   40  148  262  298    0
   29  205   31    7    9   13   37  149  255  295    0
   30  216   35    7   10    9   41  156  257  301    0
   31  220   35    8    9    9   44  155  250  315    0
   32  211   31    9    8    9   46  146  263  303    0
   33  205   34    9    9    9   39  157  268  285    0
   34  215   34   10   11   10   39  147  253  309    0
   35  212   38    8   11    9   34  144  257  297    0
   36  210   35   10   10    9   39  155  256  297    0
   37  225   32   10   11   10   34  137  248  305    0
   38  205   36   12    9    9   37  136  258  302    0
   39  202   37    7   11    8   39  134  261  299    0
   40  197   29    8   10    8   38  134  251  296    0
   41  192   27   10   10    9   39  152  244  300    0
   42  201   29    9   10    8   39  147  245  307    0
   43  213   30    8    9    7   39  143  261  297    0
   44  204   24    9    8   10   43  145  245  315    0
   45  203   33    9   10    8   41  148  235  298    0
   46  209   29    8    9    7   44  159  246  302    0
   47  209   22   10    9   10   37  145  259  295    0
   48  214   32    8   10   10   41  137  239  293    0
   49  204   25    7   12    9   44  144  262  286    0
   50  203   35    6   10    8   43  139  260  277    0
   51  204   27    7   10   11   42  146  272  294    0
   52  199   26    6   11    9   43  153  256  298    0
   53  197   25    8   10   11   40  153  260  305    0
   54  200   24    9    9   10   36  140  261  300    0
   55  210   33    8    8   10   40  142  255  306    0
   56  209   36    8   11   10   41  138  259  300    0
   57  192   24    7   11   11   42  135  246  305    0
   58  199   27   10   10   10   40  145  258  299    0
   59  186   23    8   10   11   40  152  246  308    0
   60  213   29    8   11   10   41  140  270  306    0
   61  206   31    8   10   11   42  151  252  292    0
   62  200   29    7   12    9   39  144  251  302    0
   63  197   26    7   11   10   41  151  259  296    0
   64  204   33    8   13    7   41  134  254  307    0
   65  207   28    6   12   10   39  144  241  305    0
   66  198   32    8   10    9   32  136  235  307    0
   67  198   31    8   11    9   40  142  244  296    0
   68  205   24    8   10    9   40  153  236  296    0
   69  208   31    8   11    9   40  151  258  305    0
   70  191   23    9   11    8   48  157  255  303    0
   71  207   31    8   10    9   40  154  239  306    0
   72  207   31    8   10    9   40  154  239  306    0
   73  194   31   10    9    9   41  160  251  302    0
   74  210   28    8   10    9   42  161  256  305    0
   75  209   32    8   11    8   42  150  250  307    0
   76  199   35    9   11    8   38  148  257  290    0
   77  191   25    9   11    8   39  149  256  302    0
   78  194   24    9   11    9   41  144  258  289    0
   79  197   24    9   10   10   37  155  251  305    0
   80  199   31    8    9   12   40  149  262  290    0
   81  216   26    7   11   10   37  142  249  303    0
   82  191   25    9   12    9   39  140  250  290    0
   83  204   23   10    9   10   42  163  258  290    0
   84  209   26   10    9   10   41  154  249  290    0
   85  199   29    6   10   10   41  159  265  314    0
   86  212   26    9   10   10   41  150  252  305    0
   87  215   29    8   10   10   41  151  254  290    0
   88  204   28    7    9   10   42  154  251  301    0
   89  193   23   11   11    8   43  152  251  295    0
   90  189   22    9   10   10   41  147  262  297    0
   91  197   28    8   12    8   40  144  252  299    0
   92  216   28    7   11   10   36  139  261  306    0
   93  201   23    8   11   10   39  149  256  303    0
   94  215   26    9   11   10   33  153  255  308    0
   95  203   26    9   10   12   36  160  264  294    0
   96  193   24    8   11    9   38  159  262  297    0
   97  213   32    7   10   10   35  146  264  303    0
   98  214   40    8   10    9   39  141  263  288    0
   99  213   35    9   10   11   36  147  253  315    0
  100  209   37    9    9   12   40  153  254  305    0
  101  201   35    8    9   12   32  161  261  294    0
  102  198   35   10    9   11   36  149  264  294    0
  103  196   34    7   12   11   37  156  260  295    0
  104  197   28    7   13    8   44  151  250  301    0
  105  215   33    9   11   10   39  145  252  276    0
  106  212   33    8    9   13   39  139  264  297    0
  107  210   25    6   11   12   31  148  256  301    0
  108  195   37    7   12   10   33  150  266  291    0
  109  217   29    7   12   10   40  141  264  288    0
  110  194   33    8   10   11   44  153  261  308    0
  111  193   36    6   11   12   39  153  280  294    0
  112  197   27    7   10   12   38  157  268  288    0
  113  223   32    8   12   11   32  144  263  296    0
  114  211   30   12   10   12   38  147  259  306    0
  115  202   33    9   11   13   38  140  256  307    0
  116  203   34   11    9   13   35  132  265  315    0
  117  196   30   11   10   11   38  151  261  315    0
  118  204   28    9   12   14   40  136  259  296    0
  119  218   26   10    8   14   39  138  252  288    0
  120  182   24    8    8   13   40  144  268  295    0
  121  196   25    8   10   14   34  157  254  303    0
  122  182   22    7   10   14   45  149  255  316    0
  123  188   22    7   11   14   34  140  261  322    0
  124  201   18    6   11   15   38  163  263  307    0
  125  199   24    6   10   15   36  154  249  303    0
  126  205   27    7    9   16   34  153  255  307    0
  127  217   28   11    8   16   34  143  255  307    0
  128  205   26    9    8   15   36  133  259  292    0
  129  199   33    8    8   14   30  147  261  297    0
  130  205   26    7    9   18   30  143  256  304    0
  131  217   29   10    8   12   33  126  243  298    0
  132  212   33    8    8   16   32  134  254  305    0
  133  208   35    8    9   16   33  146  255  318    0
  134  205   26    8    8   17   34  155  255  307    0
  135  203   30    8   10   14   35  149  265  315    0
  136  220   33   11    9   16   31  148  257  315    0
  137  191   35    9    8   16   38  143  255  304    0
  138  205   29   13    8   16   40  143  260  310    0
  139  217   30   13    8   16   39  152  254  296    0
  140  219   27    9    9   16   40  136  248  311    0
  141  207   24   12    8   15   44  120  246  305    0
  142  182   26   11    9   18   42  128  257  299    0
  143  182   26   11    9   18   42  128  257  299    0
  144  197   26    9   10   17   44  141  249  316    0
  145  191   29   12    9   17   42  131  246  308    0
  146  193   29    8   10   17   43  152  259  300    0
  147  206   25    8    9   18   46  142  252  297    0
  148  199   25    9    8   16   46  138  255  290    0
  149  204   26    9    8   17   44  143  257  298    0
  150  193   22   11    8   17   45  137  263  305    0
  151  196   23    8    8   18   41  159  256  295    0
  152  201   35   10    9   14   45  147  255  305    0
  153  202   25   10    7   17   40  142  270  298    0
  154  200   26    7    9   17   42  156  255  304    0
  155  198   25    5   10   16   44  146  259  291    0
  156  199   24    7    9   15   45  146  253  293    0
  157  188   28    8   10   14   51  153  246  297    0
  158  187   33    6    9   15   41  152  262  316    0
  159  216   34    8   11   15   45  142  262  305    0
  160  196   32    9    8   14   47  144  255  294    0
  161  183   35    7   10   15   49  155  267  305    0
  162  194   30    9    9   14   52  156  260  313    0
  163  200   40    5   10   15   54  153  256  315    0
  164  196   36    7    8   13   47  161  259  315    0
